timestamp(ms),GPS.Lat,GPS.Alt,GPS.Lng,IMU.AccX,IMU.AccY,RCOU.C1,RCOU.C3,DCM.Yaw,IMU.GyrZ
2738642.826,634014986,220.01,103146182,0.044866133481264114,-0.16981878876686096,1510,1510,188.68521118164062,-0.017756175249814987
2738742.826,634014986,220.01,103146182,0.0347435437142849,-0.150276780128479,1510,1510,188.5589599609375,-0.019929327070713043
2738842.826,634014985,220.01,103146182,0.01923968270421028,-0.1526508331298828,1510,1510,188.44415283203125,-0.020227372646331787
2738942.826,634014985,220.01,103146182,0.006055982783436775,-0.15783578157424927,1510,1510,188.34690856933594,-0.01751571334898472
2739042.826,634014985,220.01,103146181,0.014670398086309433,-0.17533579468727112,1510,1510,188.2823944091797,-0.014819124713540077
2739142.826,634014985,220.01,103146181,0.029681488871574402,-0.18514026701450348,1510,1510,188.22483825683594,-0.013243578374385834
2739242.826,634014985,220.02,103146180,0.04733864963054657,-0.1772182583808899,1510,1510,188.13595581054688,-0.014543216675519943
2739342.826,634014985,220.02,103146180,0.051039889454841614,-0.16686946153640747,1510,1510,188.0595245361328,-0.017353959381580353
2739442.826,634014984,220.02,103146179,0.034918252378702164,-0.15869677066802979,1510,1510,187.93777465820312,-0.019970033317804337
2739542.826,634014984,220.02,103146179,0.01611098274588585,-0.14925937354564667,1510,1510,187.82736206054688,-0.019716430455446243
2739642.826,634014985,220.02,103146179,0.006047612056136131,-0.15718036890029907,1510,1510,187.7257537841797,-0.017135223373770714
2739742.826,634014985,220.02,103146179,0.014367686584591866,-0.16844770312309265,1510,1510,187.66075134277344,-0.013903016224503517
2739842.826,634014984,220.02,103146178,0.030272487550973892,-0.17237205803394318,1510,1510,187.61013793945312,-0.012530148029327393
2739942.826,634014984,220.02,103146178,0.04750019311904907,-0.17769204080104828,1510,1510,187.5496826171875,-0.014063095673918724
2740042.826,634014983,220.02,103146177,0.04585131257772446,-0.16130053997039795,1510,1510,187.47906494140625,-0.017242366448044777
2740142.826,634014983,220.02,103146177,0.03440626338124275,-0.15374824404716492,1510,1510,187.3823699951172,-0.02010188437998295
2740242.826,634014984,220.02,103146176,0.013163844123482704,-0.15523409843444824,1510,1510,187.322509765625,-0.01926763914525509
2740342.826,634014984,220.02,103146176,0.008267505094408989,-0.16548755764961243,1510,1510,187.2473602294922,-0.015819478780031204
2740442.826,634014983,220.03,103146176,0.017244018614292145,-0.17536312341690063,1510,1510,187.16212463378906,-0.012311256490647793
2740542.826,634014983,220.03,103146176,0.035623885691165924,-0.17844685912132263,1510,1510,187.09188842773438,-0.011619305238127708
2740642.826,634014983,220.02,103146175,0.055508241057395935,-0.16939567029476166,1510,1510,186.99505615234375,-0.013829052448272705
2740742.826,634014983,220.02,103146175,0.04600435867905617,-0.15729855000972748,1510,1510,186.88417053222656,-0.017742017284035683
2740842.826,634014982,220.03,103146174,0.023638863116502762,-0.15461814403533936,1510,1510,186.7715301513672,-0.01972305029630661
2740942.826,634014982,220.03,103146174,0.006842214614152908,-0.15413826704025269,1510,1510,186.66342163085938,-0.018594248220324516
2741042.826,634014982,220.04,103146173,0.007455103565007448,-0.16137774288654327,1510,1510,186.58905029296875,-0.01477141585201025
2741142.826,634014982,220.04,103146173,0.02532835304737091,-0.171908438205719,1510,1510,186.5205535888672,-0.011467809788882732
2741242.826,634014982,220.04,103146172,0.039161067456007004,-0.17326529324054718,1510,1510,186.4705810546875,-0.011187857948243618
2741342.826,634014982,220.04,103146172,0.05501030385494232,-0.17012949287891388,1510,1510,186.40802001953125,-0.01409350149333477
2741442.826,634014982,220.04,103146172,0.04754379764199257,-0.1665372997522354,1510,1510,186.33338928222656,-0.018088556826114655
2741542.826,634014982,220.04,103146172,0.017087601125240326,-0.15410158038139343,1510,1510,186.224609375,-0.019541161134839058
2741642.826,634014981,220.05,103146170,0.0031628410797566175,-0.1612672358751297,1510,1510,186.12916564941406,-0.01704365760087967
2741742.826,634014981,220.05,103146170,0.00577889708802104,-0.17365874350070953,1510,1510,186.06068420410156,-0.013054369017481804
2741842.826,634014981,220.06,103146170,0.027630198746919632,-0.1692015826702118,1510,1510,185.97360229492188,-0.010533273220062256
2741942.826,634014981,220.06,103146170,0.04976951330900192,-0.17308685183525085,1510,1510,185.89434814453125,-0.01141927670687437
2742042.826,634014981,220.06,103146169,0.05474071204662323,-0.16227564215660095,1510,1510,185.817626953125,-0.014986313879489899
2742142.826,634014981,220.06,103146169,0.03514321520924568,-0.15886184573173523,1510,1510,185.734375,-0.018616773188114166
2742242.826,634014981,220.07,103146169,0.01081251259893179,-0.15915782749652863,1510,1510,185.64190673828125,-0.019067605957388878
2742342.826,634014981,220.07,103146169,-0.0038331227842718363,-0.16701337695121765,1510,1510,185.5394287109375,-0.015445906668901443
2742442.826,634014981,220.07,103146168,0.01749131828546524,-0.1686149537563324,1510,1510,185.48277282714844,-0.011355828493833542
2742542.826,634014981,220.07,103146168,0.03633911907672882,-0.16945254802703857,1510,1510,185.42196655273438,-0.00971906166523695
2742642.826,634014981,220.08,103146169,0.05824963003396988,-0.1610327810049057,1510,1510,185.34642028808594,-0.011999504640698433
2742742.826,634014981,220.08,103146169,0.04594187065958977,-0.1636815220117569,1510,1510,185.26515197753906,-0.01650221087038517
2742842.826,634014980,220.08,103146167,0.02217496559023857,-0.16099044680595398,1510,1510,185.18194580078125,-0.01893736980855465
2742942.826,634014980,220.08,103146167,-0.008717796765267849,-0.1613953411579132,1510,1510,185.1057891845703,-0.01707509160041809
