timestamp(ms),RCIN.C1,RCIN.C3,GPS.Lat,GPS.Alt,GPS.Lng,IMU.AccX,IMU.AccY,DCM.Yaw,IMU.GyrZ
3054082.735,1475,1488,634014699,218.84,103148997,0.02736448496580124,-0.16401629149913788,69.57414245605469,0.001762016792781651
3054182.735,1475,1488,634014699,218.84,103148997,0.03373817354440689,-0.16676054894924164,69.56865692138672,0.0029307915829122066
3054282.735,1475,1488,634014700,218.84,103148994,0.028844283893704414,-0.16441236436367035,69.56639862060547,0.003345114877447486
3054382.735,1475,1488,634014700,218.84,103148994,0.033234309405088425,-0.1679064929485321,69.5728759765625,0.003192303469404578
3054482.735,1475,1488,634014699,218.83,103148991,0.03798871487379074,-0.16316133737564087,69.58230590820312,0.0023079137317836285
3054582.735,1475,1488,634014699,218.83,103148991,0.03804469853639603,-0.17015595734119415,69.57947540283203,0.002097012707963586
3054682.735,1475,1488,634014699,218.83,103148989,0.028981924057006836,-0.1659945547580719,69.57289123535156,0.0014215284027159214
3054782.735,1475,1488,634014699,218.83,103148989,0.026828767731785774,-0.17021504044532776,69.58193969726562,0.00207016640342772
3054882.735,1475,1488,634014699,218.83,103148986,0.030354034155607224,-0.16559872031211853,69.59894561767578,0.002408732194453478
3054982.735,1475,1488,634014699,218.83,103148986,0.028329946100711823,-0.1715317964553833,69.60678100585938,0.002791569335386157
3055082.735,1475,1488,634014699,218.83,103148983,0.0333033949136734,-0.17098453640937805,69.61050415039062,0.00251467595808208
3055182.735,1475,1488,634014699,218.83,103148983,0.0343342050909996,-0.1694197952747345,69.60404968261719,0.002169637242332101
3055282.735,1475,1488,634014699,218.83,103148981,0.03319478780031204,-0.1643497347831726,69.59674072265625,0.001705056056380272
3055382.735,1475,1488,634014699,218.83,103148981,0.026294633746147156,-0.1675831377506256,69.60565185546875,0.0011019299272447824
3055482.735,1475,1488,634014698,218.83,103148978,0.02753698080778122,-0.16800761222839355,69.63592529296875,0.001330772996880114
3055582.735,1475,1488,634014698,218.83,103148978,0.031046371906995773,-0.16654053330421448,69.66336059570312,0.0016391699900850654
3055682.735,1475,1488,634014698,218.83,103148975,0.028409145772457123,-0.1665344536304474,69.65811920166016,0.0023010773584246635
3055782.735,1475,1488,634014698,218.83,103148975,0.030667036771774292,-0.1593194156885147,69.65802001953125,0.001959735294803977
3055882.735,1475,1488,634014697,218.83,103148973,0.037335868924856186,-0.16458898782730103,69.61827087402344,0.0014256343711167574
3055982.735,1475,1488,634014697,218.83,103148973,0.03265579044818878,-0.1694042980670929,69.59739685058594,0.0007973490282893181
3056082.735,1475,1488,634014697,218.83,103148971,0.031591787934303284,-0.1680537313222885,69.57791137695312,0.0006475868867710233
3056182.735,1475,1488,634014697,218.83,103148971,0.024577373638749123,-0.17189347743988037,69.56340026855469,0.0010388107039034367
3056282.735,1475,1488,634014696,218.83,103148969,0.035214051604270935,-0.17183169722557068,69.5538330078125,0.00158123136498034
3056382.735,1475,1488,634014696,218.83,103148969,0.02792191132903099,-0.16036486625671387,69.56781768798828,0.0016771003138273954
3056482.735,1475,1488,634014695,218.84,103148967,0.03467267006635666,-0.1689804196357727,69.56914520263672,0.0015105055645108223
3056582.735,1475,1488,634014695,218.84,103148967,0.02836412936449051,-0.1557854562997818,69.5421371459961,0.0007822960615158081
3056682.735,1475,1488,634014694,218.84,103148965,0.03091931901872158,-0.166476309299469,69.52618408203125,0.0007716548279859126
3056782.735,1475,1488,634014694,218.84,103148965,0.030303973704576492,-0.1705978959798813,69.52558135986328,0.0005254083080217242
3056882.735,1475,1488,634014693,218.85,103148963,0.03740423172712326,-0.1716180294752121,69.5208969116211,0.0002559804997872561
3056982.735,1475,1488,634014693,218.85,103148963,0.029320700094103813,-0.16516996920108795,69.53053283691406,0.0005936408997513354
3057082.735,1475,1488,634014692,218.85,103148960,0.028180163353681564,-0.1661480963230133,69.57169342041016,0.0013042644131928682
3057182.735,1475,1488,634014692,218.85,103148960,0.040360577404499054,-0.16717934608459473,69.59320068359375,0.0017033370677381754
3057282.735,1475,1488,634014692,218.87,103148959,0.02868811786174774,-0.1625647097826004,69.62535858154297,0.0009968364611268044
3057382.735,1475,1488,634014692,218.87,103148959,0.028530310839414597,-0.16426800191402435,69.67579650878906,0.0005113990046083927
3057482.735,1475,1488,634014691,218.88,103148957,0.02722635492682457,-0.17079582810401917,69.67704772949219,0.00003172687138430774
3057582.735,1475,1488,634014691,218.88,103148957,0.024780994281172752,-0.16755709052085876,69.68711853027344,0.00015469262143597007
3057682.735,1475,1488,634014691,218.89,103148955,0.028389351442456245,-0.1661459058523178,69.71205139160156,0.0012752814218401909
3057782.735,1475,1488,634014691,218.89,103148955,0.02685895562171936,-0.16754518449306488,69.72171020507812,0.0012692861491814256
3057882.735,1475,1488,634014690,218.9,103148953,0.031767044216394424,-0.16900716722011566,69.70313262939453,0.001051774830557406
3057982.735,1475,1488,634014690,218.9,103148953,0.02919858694076538,-0.16670969128608704,69.71845245361328,0.00031917417072691023
3058082.735,1475,1488,634014690,218.9,103148950,0.0340518057346344,-0.16134795546531677,69.73341369628906,-0.0002213170810136944
3058182.735,1475,1488,634014690,218.9,103148950,0.033454909920692444,-0.16137877106666565,69.71540832519531,0.000138944509672001
3058282.735,1475,1488,634014689,218.91,103148948,0.02514771744608879,-0.16673004627227783,69.70270538330078,0.0006096953293308616
3058382.735,1475,1488,634014689,218.91,103148948,0.031825244426727295,-0.16715015470981598,69.6877212524414,0.0006574325961992145
3058482.735,1475,1488,634014688,218.91,103148946,0.019648028537631035,-0.1678527295589447,69.67720794677734,0.000562715926207602
3058582.735,1475,1488,634014688,218.91,103148946,0.02023928239941597,-0.16448266804218292,69.67815399169922,0.0008454825729131699
3058682.735,1475,1488,634014688,218.92,103148944,0.02914436347782612,-0.16493956744670868,69.66498565673828,0.0007775068515911698
3058782.735,1475,1488,634014688,218.92,103148944,0.03423188999295235,-0.16803215444087982,69.67412567138672,0.00026618436095304787
3058882.735,1475,1488,634014688,218.93,103148942,0.03236725926399231,-0.16715112328529358,69.67744445800781,-0.00046312337508425117
3058982.735,1475,1488,634014688,218.93,103148942,0.027725480496883392,-0.1616426706314087,69.68075561523438,-0.0003139176988042891
3059082.735,1475,1488,634014687,218.93,103148940,0.03091256693005562,-0.1647767722606659,69.67681884765625,0.0005726113449782133
3059182.735,1475,1488,634014687,218.93,103148940,0.033746685832738876,-0.16268719732761383,69.68989562988281,0.0006853927625343204
3059282.735,1475,1488,634014687,218.94,103148938,0.035684116184711456,-0.16934946179389954,69.68743896484375,0.0004310541262384504
3059382.735,1475,1488,634014687,218.94,103148938,0.030063951388001442,-0.1665828675031662,69.66209411621094,-0.00010139462392544374
3059482.735,1475,1488,634014687,218.95,103148937,0.02841539867222309,-0.1587914675474167,69.6417236328125,-0.00022983689268585294
3059582.735,1475,1488,634014687,218.95,103148937,0.03257129341363907,-0.16197824478149414,69.60760498046875,0.00009785501606529579
3059682.735,1475,1488,634014687,218.95,103148935,0.025752417743206024,-0.16722331941127777,69.57935333251953,0.00019514362793415785
3059782.735,1475,1488,634014687,218.95,103148935,0.03381148725748062,-0.16515547037124634,69.58206176757812,0.0005587629275396466
3059882.735,1475,1488,634014687,218.97,103148933,0.02992403320968151,-0.1729535460472107,69.55691528320312,0.00038322596810758114
3059982.735,1475,1488,634014687,218.97,103148933,0.031008968129754066,-0.1657772958278656,69.56876373291016,0.00013213914644438773
3060082.735,1475,1488,634014687,218.97,103148931,0.03273617476224899,-0.16179674863815308,69.5378646850586,0.000049426314944867045
3060182.735,1475,1488,634014687,218.97,103148931,0.029598815366625786,-0.16969716548919678,69.52861785888672,-0.00013938400661572814
3060282.735,1475,1488,634014686,218.98,103148930,0.032353878021240234,-0.1654622107744217,69.51156616210938,0.00006436262628994882
3060382.735,1475,1488,634014686,218.98,103148930,0.029963916167616844,-0.16817419230937958,69.51651763916016,-0.00007793116674292833
3060482.735,1475,1488,634014686,218.99,103148928,0.027604365721344948,-0.166610449552536,69.49108123779297,0.0005293403519317508
3060582.735,1475,1488,634014686,218.99,103148928,0.03172191232442856,-0.16537906229496002,69.48524475097656,0.000430654821684584
3060682.735,1475,1488,634014686,219,103148926,0.036825038492679596,-0.16437336802482605,69.47947692871094,0.0001737947022775188
3060782.735,1475,1488,634014686,219,103148926,0.02902064099907875,-0.16972169280052185,69.46229553222656,-0.00013280508574098349
3060882.735,1475,1488,634014686,219.02,103148925,0.03138409182429314,-0.1642528623342514,69.44906616210938,-0.00037548397085629404
3060982.735,1475,1488,634014686,219.02,103148925,0.02503693476319313,-0.16745446622371674,69.45783996582031,0.00015410622290801257
3061082.735,1475,1488,634014686,219.03,103148923,0.028527280315756798,-0.16543450951576233,69.45967102050781,0.0002757716574706137
3061182.735,1475,1488,634014686,219.03,103148923,0.031094865873456,-0.17327171564102173,69.4483871459961,0.00038080630474723876
3061282.735,1475,1488,634014686,219.04,103148922,0.04012336954474449,-0.16303856670856476,69.4516372680664,0.00044862867798656225
3061382.735,1475,1488,634014686,219.04,103148922,0.028311217203736305,-0.16607052087783813,69.45677185058594,0.00006923824548721313
3061482.735,1475,1488,634014686,219.06,103148920,0.02760656177997589,-0.17062067985534668,69.45799255371094,0.0000859161009429954
3061582.735,1475,1488,634014686,219.06,103148920,0.025412658229470253,-0.17004159092903137,69.45755767822266,-0.0005165998009033501
3061682.735,1475,1488,634014686,219.07,103148919,0.024357540532946587,-0.1584583818912506,69.44544219970703,-0.00010341584857087582
3061782.735,1475,1488,634014686,219.07,103148919,0.02950347773730755,-0.16472291946411133,69.43701171875,0.000307469570543617
3061882.735,1475,1488,634014686,219.08,103148917,0.02959548309445381,-0.16804006695747375,69.42154693603516,0.0003768004826270044
3061982.735,1475,1488,634014686,219.08,103148917,0.03398529440164566,-0.17312955856323242,69.4019775390625,-0.00007096464105416089
3062082.735,1475,1488,634014686,219.1,103148916,0.03253142163157463,-0.1687026470899582,69.43860626220703,-0.00020108610624447465
