timestamp(ms),RCIN.C1,RCIN.C3,GPS.Lat,GPS.Alt,GPS.Lng,IMU.AccX,IMU.AccY,DCM.Yaw,IMU.GyrZ
4533983.734,1484,1479,634015325,218.25,103152210,0.02633320540189743,-0.19775205850601196,244.59030151367188,-0.04284602403640747
4534083.734,1484,1479,634015324,218.25,103152209,0.03354862704873085,-0.19619250297546387,244.3838653564453,-0.04159732535481453
4534183.734,1484,1479,634015324,218.25,103152209,0.03824610263109207,-0.1723042130470276,244.1885223388672,-0.04039948806166649
4534283.734,1484,1479,634015323,218.25,103152209,0.03925124928355217,-0.1362813264131546,243.98611450195312,-0.03949277102947235
4534383.734,1484,1479,634015323,218.25,103152209,0.03181961923837662,-0.1317591369152069,243.76556396484375,-0.04000639170408249
4534483.734,1484,1479,634015322,218.25,103152209,0.020087450742721558,-0.14419063925743103,243.56100463867188,-0.04118393361568451
4534583.734,1484,1479,634015322,218.25,103152209,0.011041351594030857,-0.16202136874198914,243.37046813964844,-0.041376739740371704
4534683.734,1484,1479,634015321,218.24,103152208,0.013225916773080826,-0.17603176832199097,243.16867065429688,-0.04027901217341423
4534783.734,1484,1479,634015321,218.24,103152208,0.023319128900766373,-0.1850418746471405,242.9564208984375,-0.03911544382572174
4534883.734,1484,1479,634015320,218.24,103152208,0.0406285896897316,-0.1779843121767044,242.769287109375,-0.038192711770534515
4534983.734,1484,1479,634015320,218.24,103152208,0.03464815020561218,-0.1673252284526825,242.60238647460938,-0.03733793646097183
4535083.734,1484,1479,634015319,218.25,103152208,0.03330115228891373,-0.16732054948806763,242.42742919921875,-0.037415582686662674
4535183.734,1484,1479,634015319,218.25,103152208,0.027236467227339745,-0.16965338587760925,242.25338745117188,-0.037704840302467346
4535283.734,1484,1479,634015318,218.25,103152208,0.014679580926895142,-0.1599387228488922,242.07545471191406,-0.03745611757040024
4535383.734,1484,1479,634015318,218.25,103152208,0.02366100251674652,-0.1470380574464798,241.91348266601562,-0.0366220660507679
4535483.734,1484,1479,634015317,218.25,103152208,0.022236481308937073,-0.1440814882516861,241.7764892578125,-0.03543772175908089
4535583.734,1484,1479,634015317,218.25,103152208,0.025746872648596764,-0.1448960155248642,241.62258911132812,-0.03433606028556824
4535683.734,1484,1479,634015316,218.25,103152208,0.029599089175462723,-0.1592375636100769,241.45925903320312,-0.034180648624897
4535783.734,1484,1479,634015316,218.25,103152208,0.02791617065668106,-0.17925696074962616,241.30401611328125,-0.034906938672065735
4535883.734,1484,1479,634015315,218.24,103152208,0.023367000743746758,-0.20655398070812225,241.1307830810547,-0.03608276695013046
4535983.734,1484,1479,634015315,218.24,103152208,0.028662461787462234,-0.19454798102378845,240.96990966796875,-0.035776250064373016
4536083.734,1484,1479,634015314,218.24,103152207,0.033158544450998306,-0.15978001058101654,240.8543701171875,-0.033941593021154404
4536183.734,1484,1479,634015314,218.24,103152207,0.03283112496137619,-0.13239584863185883,240.72471618652344,-0.031111042946577072
4536283.734,1484,1479,634015313,218.22,103152207,0.03282348811626434,-0.12301240861415863,240.60159301757812,-0.029406175017356873
4536383.734,1484,1479,634015313,218.22,103152207,0.021459568291902542,-0.1426122784614563,240.46566772460938,-0.029329707846045494
4536483.734,1484,1479,634015312,218.22,103152207,0.01253957487642765,-0.16953518986701965,240.32977294921875,-0.03052818961441517
4536583.734,1484,1479,634015312,218.22,103152207,0.015560880303382874,-0.18755991756916046,240.17108154296875,-0.03160101920366287
4536683.734,1484,1479,634015311,218.21,103152206,0.03398824855685234,-0.1898600459098816,240.01864624023438,-0.032025858759880066
4536783.734,1484,1479,634015311,218.21,103152206,0.04063217714428902,-0.1715174913406372,239.89434814453125,-0.030967138707637787
4536883.734,1484,1479,634015311,218.21,103152206,0.04678671807050705,-0.15240535140037537,239.78671264648438,-0.028946463018655777
4536983.734,1484,1479,634015311,218.21,103152206,0.0408204086124897,-0.15451282262802124,239.66156005859375,-0.02660619653761387
4537083.734,1484,1479,634015310,218.2,103152206,0.03336735814809799,-0.15865306556224823,239.52969360351562,-0.02565343864262104
4537183.734,1484,1479,634015310,218.2,103152206,0.014706622809171677,-0.15795612335205078,239.4048309326172,-0.026466775685548782
4537283.734,1484,1479,634015309,218.21,103152206,0.0170527845621109,-0.15953810513019562,239.2808837890625,-0.027570903301239014
4537383.734,1484,1479,634015309,218.21,103152206,0.018205711618065834,-0.15727238357067108,239.15792846679688,-0.028222665190696716
4537483.734,1484,1479,634015307,218.18,103152206,0.022329013794660568,-0.17056450247764587,239.05401611328125,-0.026956617832183838
4537583.734,1484,1479,634015307,218.18,103152206,0.02864040620625019,-0.17613744735717773,238.9676513671875,-0.024497292935848236
4537683.734,1484,1479,634015306,218.16,103152206,0.04266050457954407,-0.1693626195192337,238.87095642089844,-0.022210437804460526
4537783.734,1484,1479,634015306,218.16,103152206,0.03943133354187012,-0.16766494512557983,238.78176879882812,-0.02202324941754341
4537883.734,1484,1479,634015304,218.12,103152206,0.03343188017606735,-0.1493302434682846,238.69007873535156,-0.02305620349943638
4537983.734,1484,1479,634015304,218.12,103152206,0.019900301471352577,-0.13836124539375305,238.60159301757812,-0.024641763418912888
4538083.734,1484,1479,634015303,218.11,103152206,0.01413491927087307,-0.15148138999938965,238.49232482910156,-0.0249263197183609
4538183.734,1484,1479,634015303,218.11,103152206,0.017065612599253654,-0.16548091173171997,238.3961181640625,-0.023451441898941994
4538283.734,1484,1479,634015302,218.11,103152206,0.02776530385017395,-0.17831295728683472,238.31588745117188,-0.02121450938284397
4538383.734,1484,1479,634015302,218.11,103152206,0.035485729575157166,-0.17746828496456146,238.23866271972656,-0.019383776932954788
4538483.734,1484,1479,634015300,218.09,103152206,0.039021581411361694,-0.15603375434875488,238.16778564453125,-0.018430031836032867
4538583.734,1484,1479,634015300,218.09,103152206,0.04067900776863098,-0.1552485078573227,238.09042358398438,-0.018752889707684517
4538683.734,1484,1479,634015299,218.07,103152206,0.03959246724843979,-0.15854381024837494,238.01693725585938,-0.019536441192030907
4538783.734,1484,1479,634015299,218.07,103152206,0.02429618313908577,-0.16076374053955078,237.93666076660156,-0.019646188244223595
4538883.734,1484,1479,634015296,218.02,103152206,0.010909834876656532,-0.16707170009613037,237.8731231689453,-0.018838558346033096
4538983.734,1484,1479,634015296,218.02,103152206,0.015508118085563183,-0.17093735933303833,237.81494140625,-0.01779855415225029
4539083.734,1484,1479,634015295,218.02,103152206,0.02095380797982216,-0.1559872031211853,237.73577880859375,-0.01660437136888504
4539183.734,1484,1479,634015295,218.02,103152206,0.03076539933681488,-0.15487971901893616,237.66346740722656,-0.01673024706542492
4539283.734,1484,1479,634015295,218.03,103152206,0.03838565945625305,-0.16075265407562256,237.59963989257812,-0.01742301695048809
4539383.734,1484,1479,634015295,218.03,103152206,0.04904623702168465,-0.16395509243011475,237.54226684570312,-0.01703568361699581
4539483.734,1484,1479,634015296,218.09,103152204,0.024717126041650772,-0.1702500581741333,237.4759521484375,-0.015542639419436455
4539583.734,1484,1479,634015296,218.09,103152204,0.019856903702020645,-0.16907042264938354,237.43406677246094,-0.01415383443236351
4539683.734,1484,1479,634015295,218.09,103152204,0.027802851051092148,-0.16445805132389069,237.41546630859375,-0.013853449374437332
4539783.734,1484,1479,634015295,218.09,103152204,0.029563629999756813,-0.15407297015190125,237.3610076904297,-0.014562029391527176
4539883.734,1484,1479,634015295,218.08,103152203,0.032743100076913834,-0.16100956499576569,237.29052734375,-0.014504145830869675
4539983.734,1484,1479,634015295,218.08,103152203,0.03533340245485306,-0.16326633095741272,237.23922729492188,-0.013443879783153534
4540083.734,1484,1479,634015293,218.09,103152203,0.0274581890553236,-0.16422143578529358,237.2205810546875,-0.011948687955737114
4540183.734,1484,1479,634015293,218.09,103152203,0.02378934621810913,-0.1620987355709076,237.21337890625,-0.011300782673060894
4540283.734,1484,1479,634015293,218.09,103152203,0.02700778841972351,-0.14779633283615112,237.18283081054688,-0.011602891609072685
4540383.734,1484,1479,634015293,218.09,103152203,0.027136066928505898,-0.15502066910266876,237.14979553222656,-0.012277241796255112
4540483.734,1484,1479,634015292,218.1,103152202,0.02708909846842289,-0.17653712630271912,237.1239013671875,-0.012374022044241428
4540583.734,1484,1479,634015292,218.1,103152202,0.03787892684340477,-0.18066421151161194,237.1072998046875,-0.011468185111880302
4540683.734,1484,1479,634015291,218.09,103152203,0.035827409476041794,-0.17747801542282104,237.10391235351562,-0.010863516479730606
